RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
070161520022002,School,Maya Angelou Elem Sch,Harvey SD 152,ELEMENTARY,13.5,19.0,11.5,16.0
070161520022004,School,Holmes Elem School,Harvey SD 152,ELEMENTARY,11.7,16.0,9.5,13.0
070161520022008,School,Whittier Elem School,Harvey SD 152,ELEMENTARY,28.5,35.0,21.1,26.0
070161525022001,School,Barack H Obama Learning Academy,Hazel Crest SD 152-5,ELEMENTARY,12.5,39.0,4.5,14.0
070161525022005,School,Jesse C White Learning Academy,Hazel Crest SD 152-5,ELEMENTARY,13.0,44.0,7.4,25.0
070161530022002,School,Winston Churchill School,Homewood SD 153,ELEMENTARY,36.4,238.0,26.8,175.0
070161530022005,School,Willow School,Homewood SD 153,ELEMENTARY,,,,
070161540022002,School,Wolcott School,Thornton SD 154,ELEMENTARY,38.5,55.0,23.8,34.0
070161545022001,School,Burnham Elem School,Burnham SD 154-5,ELEMENTARY,13.3,17.0,7.8,10.0
070161550022002,School,Wilson Elementary School,Calumet City SD 155,ELEMENTARY,,,,
070161550022004,School,Wentworth Intermediate School,Calumet City SD 155,ELEMENTARY,11.7,43.0,4.1,15.0
070161560022001,School,Lincoln Elem School,Lincoln ESD 156,ELEMENTARY,26.4,155.0,14.6,86.0
070161570022001,School,Hoover Elem School,Hoover-Schrum Memorial SD 157,ELEMENTARY,17.0,48.0,5.7,16.0
070161580022001,School,Coolidge Elementary School,Lansing SD 158,ELEMENTARY,30.5,101.0,24.5,81.0
070161580022005,School,Oak Glen Elem School,Lansing SD 158,ELEMENTARY,16.5,47.0,21.1,60.0
070161580022006,School,Reavis Elem School,Lansing SD 158,ELEMENTARY,19.3,51.0,12.9,34.0
070161590022002,School,Sieden Prairie Elementary School,ESD 159,ELEMENTARY,37.7,58.0,20.1,31.0
070161590022004,School,Neil Armstrong Elem School,ESD 159,ELEMENTARY,34.4,55.0,30.0,48.0
070161590022005,School,Woodgate Elem School,ESD 159,ELEMENTARY,55.0,55.0,33.0,33.0
070161590022006,School,Marya Yates Elementary School,ESD 159,ELEMENTARY,33.5,66.0,23.6,46.0
070161600022003,School,Zenon J Sykuta  School,Country Club Hills SD 160,ELEMENTARY,,,,
070161600022004,School,Meadowview  School,Country Club Hills SD 160,ELEMENTARY,20.3,96.0,11.7,55.0
070161610022001,School,Flossmoor Hills Elem School,Flossmoor SD 161,ELEMENTARY,53.2,91.0,48.0,82.0
070161610022002,School,Heather Hill Elem School,Flossmoor SD 161,ELEMENTARY,52.8,76.0,49.3,71.0
070161610022006,School,Serena Hills Elem School,Flossmoor SD 161,ELEMENTARY,38.6,73.0,42.3,80.0
070161610022007,School,Western Avenue Elem School,Flossmoor SD 161,ELEMENTARY,57.7,142.0,52.0,128.0
070161620022001,School,Arcadia Elem School,Matteson ESD 162,ELEMENTARY,62.8,71.0,41.6,47.0
070161620022003,School,Indiana Elem School,Matteson ESD 162,ELEMENTARY,42.4,146.0,29.5,102.0
070161620022005,School,Matteson Elem School,Matteson ESD 162,ELEMENTARY,37.1,39.0,34.3,36.0
070161620022008,School,Sauk Elem School,Matteson ESD 162,ELEMENTARY,23.8,91.0,18.2,70.0
070161620022009,School,Illinois School,Matteson ESD 162,ELEMENTARY,48.8,121.0,31.5,78.0
070161620022010,School,Richton Square School,Matteson ESD 162,ELEMENTARY,,,,
070161630022002,School,Barack Obama Sch of Leadership and STEM,Park Forest SD 163,ELEMENTARY,22.4,102.0,12.7,58.0
070161630022003,School,Blackhawk Primary Center,Park Forest SD 163,ELEMENTARY,39.4,26.0,33.3,22.0
070161630022007,School,Mohawk Primary Center,Park Forest SD 163,ELEMENTARY,25.0,16.0,20.3,13.0
070161630022008,School,21st Century Primary Center,Park Forest SD 163,ELEMENTARY,26.8,11.0,17.1,7.0
070161670022001,School,Brookwood Middle School,Brookwood SD 167,ELEMENTARY,16.5,41.0,4.8,12.0
070161670022003,School,Longwood Elem School,Brookwood SD 167,ELEMENTARY,9.2,11.0,16.0,19.0
070161670022004,School,Hickory Bend Elem School,Brookwood SD 167,ELEMENTARY,33.6,38.0,32.5,37.0
070161680042001,School,Strassburg Elem,CCSD 168,ELEMENTARY,10.3,44.0,3.0,13.0
070161680042002,School,Wagoner Elem,CCSD 168,ELEMENTARY,,,,
070161690022002,School,Medgar Evers Primary Academic Center,Ford Heights SD 169,ELEMENTARY,16.7,16.0,28.1,27.0
070161700022001,School,Washington-McKinley Elem Sch,Chicago Heights SD 170,ELEMENTARY,25.3,92.0,12.4,45.0
070161700022002,School,Roosevelt Elem School,Chicago Heights SD 170,ELEMENTARY,12.6,43.0,7.8,26.0
070161700022005,School,Wilson Elem School,Chicago Heights SD 170,ELEMENTARY,23.8,46.0,3.6,7.0
070161700022007,School,Garfield Elem School,Chicago Heights SD 170,ELEMENTARY,21.7,45.0,17.8,37.0
070161700022008,School,U S Grant Elem School,Chicago Heights SD 170,ELEMENTARY,19.0,40.0,9.0,19.0
070161700022009,School,Greenbriar Elem School,Chicago Heights SD 170,ELEMENTARY,24.6,48.0,19.0,37.0
070161700022011,School,Jefferson Elem School,Chicago Heights SD 170,ELEMENTARY,15.6,39.0,5.6,14.0
070161700022012,School,Kennedy Elem School,Chicago Heights SD 170,ELEMENTARY,40.5,66.0,13.5,22.0
070161700022013,School,Lincoln Elem School,Chicago Heights SD 170,ELEMENTARY,36.4,12.0,27.3,9.0
070161710022001,School,Nathan Hale Elem School,Sunnybrook SD 171,ELEMENTARY,39.1,77.0,34.0,67.0
070161720022001,School,Sandridge Elem School,Sandridge SD 172,ELEMENTARY,16.9,40.0,14.2,33.0
070161940022002,School,Steger Intermediate Center,Steger SD 194,ELEMENTARY,19.2,61.0,20.1,64.0
070161940022005,School,Steger Primary Center,Steger SD 194,ELEMENTARY,,,,
080083080262003,School,Eastland Elementary School,Eastland CUSD 308,ELEMENTARY,55.6,74.0,43.6,58.0
080083140262002,School,West Carroll Primary,West Carroll CUSD 314,ELEMENTARY,32.5,41.0,32.5,41.0
080083990262001,School,Chadwick Elem School,Chadwick-Milledgeville CUSD 399,ELEMENTARY,57.1,32.0,64.3,36.0
080083990262002,School,Milledgeville Elem School,Chadwick-Milledgeville CUSD 399,ELEMENTARY,16.7,5.0,60.0,18.0
080431190222002,School,East Dubuque Elem School,East Dubuque USD 119,ELEMENTARY,27.3,47.0,32.0,55.0
080431200222002,School,Galena Primary School,Galena USD 120,ELEMENTARY,45.5,55.0,61.2,74.0
080432050262002,School,Warren Elementary School,Warren CUSD 205,ELEMENTARY,50.0,41.0,48.8,40.0
080432060262002,School,Stockton Elem School,Stockton CUSD 206,ELEMENTARY,43.2,38.0,53.4,47.0
080432100262003,School,River Ridge Elementary School,River Ridge CUSD 210,ELEMENTARY,45.0,49.0,45.0,49.0
080432110262001,School,Scales Mound Elem School,Scales Mound CUSD 211,ELEMENTARY,50.9,29.0,42.1,24.0
080891450222003,School,Blackhawk Elem School,Freeport SD 145,ELEMENTARY,15.6,12.0,23.4,18.0
080891450222004,School,Center Elem School,Freeport SD 145,ELEMENTARY,22.3,21.0,33.0,31.0
080891450222005,School,Lincoln-Douglas Elementary School,Freeport SD 145,ELEMENTARY,26.5,22.0,23.2,19.0
080891450222006,School,Empire Elem School,Freeport SD 145,ELEMENTARY,29.5,33.0,31.3,35.0
080891450222012,School,Taylor Park Elem School,Freeport SD 145,ELEMENTARY,11.1,11.0,9.1,9.0
080891450222015,School,Carl Sandburg Middle Sch,Freeport SD 145,ELEMENTARY,17.1,97.0,11.6,66.0
080891450222017,School,Jones Farrar International Baccalaureate World School,Freeport SD 145,ELEMENTARY,17.0,18.0,20.8,22.0
080892000262001,School,Pearl City Elementary School,Pearl City CUSD 200,ELEMENTARY,48.0,71.0,49.3,73.0
080892010262003,School,Dakota Elementary School,Dakota CUSD 201,ELEMENTARY,34.6,88.0,40.9,104.0
080892020262003,School,Lena-Winslow Elem School,Lena Winslow CUSD 202,ELEMENTARY,47.3,79.0,43.4,72.0
080892030262003,School,Orangeville Elem School,Orangeville CUSD 203,ELEMENTARY,47.9,34.0,39.4,28.0
090100010262002,School,Fisher Grade School,Fisher CUSD 1,ELEMENTARY,28.9,55.0,31.1,59.0
090100030262003,School,Lincoln Trail Elem School,Mahomet-Seymour CUSD 3,ELEMENTARY,38.3,272.0,39.9,283.0
090100030262005,School,Middletown Prairie Elementary,Mahomet-Seymour CUSD 3,ELEMENTARY,,,,
090100040262007,School,Bottenfield Elem School,Champaign CUSD 4,ELEMENTARY,53.0,125.0,51.7,122.0
090100040262008,School,Carrie Busey Elem School,Champaign CUSD 4,ELEMENTARY,58.1,126.0,51.6,112.0
090100040262010,School,Dr Howard Elem School,Champaign CUSD 4,ELEMENTARY,37.7,66.0,42.3,74.0
090100040262011,School,Garden Hills Elem School,Champaign CUSD 4,ELEMENTARY,6.7,13.0,6.7,13.0
090100040262013,School,Kenwood Elem School,Champaign CUSD 4,ELEMENTARY,35.7,71.0,33.2,66.0
090100040262017,School,Robeson Elem School,Champaign CUSD 4,ELEMENTARY,30.8,65.0,25.6,54.0
090100040262020,School,Washington Elem School,Champaign CUSD 4,ELEMENTARY,41.3,85.0,44.7,92.0
090100040262021,School,Westview Elem School,Champaign CUSD 4,ELEMENTARY,24.9,53.0,24.2,51.0
090100040262024,School,South Side Elementary School,Champaign CUSD 4,ELEMENTARY,43.1,59.0,47.4,65.0
090100040262026,School,Stratton Elementary School,Champaign CUSD 4,ELEMENTARY,20.2,45.0,25.1,56.0
090100040262027,School,Vernon L Barkstall Elementary Sch,Champaign CUSD 4,ELEMENTARY,33.3,74.0,44.8,99.0
090100040262028,School,International Prep Academy,Champaign CUSD 4,ELEMENTARY,27.6,35.0,26.8,34.0
090100070262006,School,Unity West,Tolono CUSD 7,ELEMENTARY,34.5,68.0,35.9,71.0
090100070262007,School,Unity East,Tolono CUSD 7,ELEMENTARY,50.4,65.0,48.1,62.0
090100080262001,School,Heritage Jr High and Elementary School,Heritage CUSD 8,ELEMENTARY,41.1,72.0,32.6,57.0
090101160222004,School,M L King Jr Elem School,Urbana SD 116,ELEMENTARY,10.6,14.0,10.6,14.0
090101160222005,School,Leal Elem School,Urbana SD 116,ELEMENTARY,30.7,63.0,30.7,63.0
090101160222007,School,Dr Preston L Williams Jr Elementary School,Urbana SD 116,ELEMENTARY,7.7,16.0,6.3,13.0
090101160222008,School,Thomas Paine Elem School,Urbana SD 116,ELEMENTARY,24.2,38.0,16.7,26.0
090101160222012,School,Yankee Ridge Elem School,Urbana SD 116,ELEMENTARY,24.2,38.0,20.5,32.0
090101160222013,School,Wiley Elementary School,Urbana SD 116,ELEMENTARY,15.1,18.0,13.3,16.0
090101300042001,School,Thomasboro Grade School,Thomasboro CCSD 130,ELEMENTARY,19.8,20.0,12.9,13.0
090101370022001,School,Broadmeadow Elem School,Rantoul City SD 137,ELEMENTARY,9.1,13.0,10.0,14.0
090101370022002,School,Eastlawn Elem School,Rantoul City SD 137,ELEMENTARY,7.9,10.0,7.1,9.0
090101370022006,School,Northview Elem School,Rantoul City SD 137,ELEMENTARY,15.3,25.0,11.0,18.0
090101370022007,School,Pleasant Acres Elem School,Rantoul City SD 137,ELEMENTARY,12.1,14.0,6.1,7.0
090101420042001,School,Ludlow Elementary School,Ludlow CCSD 142,ELEMENTARY,32.6,14.0,23.3,10.0
090101690042001,School,St Joseph Elem School,St Joseph CCSD 169,ELEMENTARY,46.1,83.0,46.1,83.0
090101880042001,School,Gifford Grade School,Gifford CCSD 188,ELEMENTARY,45.0,63.0,36.4,51.0
090101970042001,School,Prairieview-Ogden North Elem,Prairieview-Ogden CCSD 197,ELEMENTARY,80.8,21.0,57.7,15.0
090101970042002,School,Prairieview-Ogden South Elem,Prairieview-Ogden CCSD 197,ELEMENTARY,48.0,36.0,37.3,28.0
090270050262004,School,GCMS Elementary School,Gibson City-Melvin-Sibley CUSD 5,ELEMENTARY,41.1,86.0,45.0,94.0
090270100262004,School,Clara Peterson Elem School,Paxton-Buckley-Loda CUD 10,ELEMENTARY,,,,
090270100262005,School,PBL Eastlawn,Paxton-Buckley-Loda CUD 10,ELEMENTARY,32.8,89.0,38.9,105.0
11012002C262003,School,North Elem School,Marshall CUSD 2C,ELEMENTARY,37.2,146.0,31.9,125.0
11012002C262005,School,South Elem School,Marshall CUSD 2C,ELEMENTARY,,,,
11012003C262005,School,Martinsville Elem School,Martinsville CUSD 3C,ELEMENTARY,17.1,18.0,22.9,24.0
11012004C262003,School,Monroe Elem School,Casey-Westfield CUSD 4C,ELEMENTARY,38.7,98.0,31.6,80.0
110150010262003,School,Carl Sandburg Elem School,Charleston CUSD 1,ELEMENTARY,26.6,50.0,28.7,54.0
110150010262004,School,Jefferson Elem School,Charleston CUSD 1,ELEMENTARY,23.8,139.0,11.0,64.0
110150010262006,School,Mark Twain Elem School,Charleston CUSD 1,ELEMENTARY,,,,
110150010262007,School,Ashmore Elem School,Charleston CUSD 1,ELEMENTARY,27.8,10.0,16.7,6.0
110150020262015,School,Arland D Williams Jr Elem Sch,Mattoon CUSD 2,ELEMENTARY,37.8,123.0,29.0,94.0
110150020262016,School,Riddle Elementary School,Mattoon CUSD 2,ELEMENTARY,27.3,110.0,16.9,68.0
110150050262001,School,Lake Crest Elem School,Oakland CUSD 5,ELEMENTARY,16.4,18.0,19.8,22.0
110180030262002,School,Neoga Elementary School,Neoga CUSD 3,ELEMENTARY,24.5,26.0,18.9,20.0
110180770262003,School,Cumberland Elem School,Cumberland CUSD 77,ELEMENTARY,21.4,33.0,28.1,43.0
110213010262002,School,North Ward Elementary School,Tuscola CUSD 301,ELEMENTARY,39.3,57.0,24.0,35.0
110213020262001,School,Villa Grove Elem School,Villa Grove CUSD 302,ELEMENTARY,35.7,71.0,27.1,54.0
110213050262003,School,Arthur Grade School,Arthur CUSD 305,ELEMENTARY,29.4,74.0,26.9,68.0
110213050262004,School,Lovington Grade School,Arthur CUSD 305,ELEMENTARY,29.2,35.0,19.2,23.0
110213050262005,School,Atwood-Hammond Grade School,Arthur CUSD 305,ELEMENTARY,34.3,59.0,19.9,34.0
110213060262002,School,Arcola Elementary School,Arcola CUSD 306,ELEMENTARY,24.7,44.0,27.5,49.0
110230010262002,School,Shiloh Elementary School,Shiloh CUSD 1,ELEMENTARY,11.9,10.0,9.5,8.0
110230030262002,School,Kansas Elem School,Kansas CUSD 3,ELEMENTARY,29.8,14.0,14.9,7.0
110230040262001,School,Crestwood Elem School,Paris CUSD 4,ELEMENTARY,49.3,72.0,30.1,44.0
110230060262003,School,Chrisman Elem School,Edgar County CUD 6,ELEMENTARY,30.3,20.0,36.4,24.0
110230950252003,School,Memorial Elementary School,Paris-Union SD 95,ELEMENTARY,,,,
110230950252006,School,Carolyn Wenz Elem School,Paris-Union SD 95,ELEMENTARY,35.7,102.0,29.5,84.0
110703000262001,School,Sullivan Elem School,Sullivan CUSD 300,ELEMENTARY,46.6,76.0,33.1,54.0
110703020262001,School,Okaw Valley Elementary School,Okaw Valley CUSD 302,ELEMENTARY,18.6,11.0,6.8,4.0
110870010262002,School,Windsor Elem School,Windsor CUSD 1,ELEMENTARY,27.3,30.0,28.2,31.0
11087003A262001,School,Cowden-Herrick Grade School,Cowden-Herrick CUSD 3A,ELEMENTARY,36.4,24.0,27.3,18.0
110870040262002,School,Moulton Elementary School,Shelbyville CUSD 4,ELEMENTARY,53.6,233.0,31.7,138.0
110870040262003,School,Main Street Elementary School,Shelbyville CUSD 4,ELEMENTARY,58.8,50.0,46.5,40.0
110870040262006,School,Shelbyville Kindergarten Center,Shelbyville CUSD 4,ELEMENTARY,,,,
11087005A262003,School,Stewardson-Strasburg Elem School,Stewardson-Strasburg CUD 5A,ELEMENTARY,39.2,62.0,29.7,47.0
110870210262001,School,Gregory Intermediate,Central A & M CUD 21,ELEMENTARY,26.9,35.0,24.0,31.0
110870210262002,School,Bond Primary,Central A & M CUD 21,ELEMENTARY,,,,
120130100262001,School,Clay City Elem School,Clay City CUSD 10,ELEMENTARY,16.4,10.0,18.0,11.0
120130250262004,School,North Clay Elem/Jr High Sch,North Clay CUSD 25,ELEMENTARY,19.5,50.0,18.0,46.0
120130350262008,School,Flora Elementary School,Flora CUSD 35,ELEMENTARY,43.0,131.0,33.1,101.0
120170010262002,School,Hutsonville Elem and Jr High Sch,Hutsonville CUSD 1,ELEMENTARY,55.3,68.0,18.7,23.0
120170020262004,School,Lincoln Elementary School,Robinson CUSD 2,ELEMENTARY,35.9,128.0,27.7,99.0
120170020262007,School,Washington Elem School,Robinson CUSD 2,ELEMENTARY,,,,
120170030262002,School,Palestine Grade School,Palestine CUSD 3,ELEMENTARY,17.3,22.0,8.7,11.0
120170040262002,School,Oblong Elem School,Oblong CUSD 4,ELEMENTARY,40.0,102.0,14.9,38.0
120400010262002,School,Newton Elem School,Jasper County CUD 1,ELEMENTARY,45.2,166.0,45.2,166.0
120400010262011,School,Ste Marie Elem School,Jasper County CUD 1,ELEMENTARY,,,,
120510100262005,School,Bridgeport Grade School,Red Hill CUSD 10,ELEMENTARY,37.3,25.0,47.8,32.0
120510100262008,School,Sumner Attendance Center,Red Hill CUSD 10,ELEMENTARY,56.7,106.0,31.0,58.0
120510200262007,School,Parkside Elementary School,Lawrence County CUD 20,ELEMENTARY,28.3,77.0,20.6,56.0
120800010262008,School,Richland County Elementary School,Richland County CUSD 1,ELEMENTARY,34.2,162.0,32.6,154.0
130140010262002,School,Carlyle Elementary School,Carlyle CUSD 1,ELEMENTARY,45.0,76.0,45.0,76.0
130140030262001,School,Trenton Elem School,Wesclin CUSD 3,ELEMENTARY,46.8,22.0,51.1,24.0
130140030262005,School,New Baden Elementary School,Wesclin CUSD 3,ELEMENTARY,43.1,28.0,38.5,25.0
130140030262006,School,Wesclin Middle School,Wesclin CUSD 3,ELEMENTARY,44.1,216.0,30.4,149.0
130140120042001,School,Breese Elem School,Breese ESD 12,ELEMENTARY,68.7,171.0,45.0,112.0
130140120042002,School,Beckemeyer Elem School,Breese ESD 12,ELEMENTARY,60.2,80.0,39.8,53.0
130140210022001,School,Aviston Elem School,Aviston SD 21,ELEMENTARY,84.9,185.0,72.4,157.0
130140460022001,School,Willow Grove Elem School,Willow Grove SD 46,ELEMENTARY,22.7,25.0,20.9,23.0
130140570022001,School,Bartelso Elem School,Bartelso SD 57,ELEMENTARY,84.4,81.0,67.7,65.0
130140600022001,School,Germantown Elem School,Germantown SD 60,ELEMENTARY,70.1,110.0,73.2,115.0
130140620022001,School,Damiansville Elem School,Damiansville SD 62,ELEMENTARY,35.7,20.0,50.0,28.0
130140630022001,School,Albers Elem School,Albers SD 63,ELEMENTARY,62.2,74.0,52.1,62.0
130141415022001,School,St Rose Elem School,St Rose SD 14-15,ELEMENTARY,68.0,70.0,50.5,52.0
130141860022001,School,North Wamac Grade School,North Wamac SD 186,ELEMENTARY,36.8,28.0,31.6,24.0
130410010262002,School,Waltonville Grade School,Waltonville CUSD 1,ELEMENTARY,57.3,90.0,29.3,46.0
130410020042001,School,Rome Comm Cons Elem School,Rome CCSD 2,ELEMENTARY,27.9,70.0,15.9,40.0
130410030042001,School,Field Elementary School,Field CCSD 3,ELEMENTARY,26.1,41.0,22.9,36.0
130410050042002,School,Opdyke-Belle Rive Grade Sch,Opdyke-Belle-Rive CCSD 5,ELEMENTARY,49.4,43.0,31.4,27.0
130410060042001,School,Grand Prairie Elem School,Grand Prairie CCSD 6,ELEMENTARY,13.0,7.0,11.1,6.0
130410120042001,School,McClellan Elementary School,McClellan CCSD 12,ELEMENTARY,44.7,17.0,57.9,22.0
130410790022001,School,Summersville Grade School,Summersville SD 79,ELEMENTARY,52.2,83.0,51.6,82.0
130410800022002,School,J L Buford Intermediate Ed Ctr,Mount Vernon SD 80,ELEMENTARY,20.5,62.0,5.3,16.0
130410800022008,School,Dr Nick Osborne Primary Center,Mount Vernon SD 80,ELEMENTARY,17.8,31.0,20.2,35.0
130410820022001,School,Bethel Grade School,Bethel SD 82,ELEMENTARY,29.9,35.0,32.5,38.0
130410990042001,School,Farrington Elem School,Farrington CCSD 99,ELEMENTARY,48.8,21.0,46.5,20.0
130411780042001,School,Spring Garden Elementary School,Spring Garden Community Consolidated School District 178,ELEMENTARY,24.1,13.0,20.4,11.0
130411780042002,School,Spring Garden Middle School,Spring Garden Community Consolidated School District 178,ELEMENTARY,29.4,30.0,14.6,15.0
130412090272001,School,Woodlawn Grade School,Woodlawn Unit School District 209,ELEMENTARY,34.8,70.0,26.9,54.0
130413180272001,School,Bluford Grade School,Bluford Unit School District 318,ELEMENTARY,30.1,47.0,12.3,19.0
130580010032001,School,Raccoon Cons Elem School,Raccoon Cons SD 1,ELEMENTARY,47.7,73.0,28.8,44.0
130580020032001,School,Kell Grade School,Kell Cons SD 2,ELEMENTARY,26.6,17.0,4.7,3.0
130580070042001,School,Iuka Comm Cons School,Iuka CCSD 7,ELEMENTARY,69.8,88.0,55.6,70.0
130580100042003,School,Selmaville Elem School,Selmaville CCSD 10,ELEMENTARY,50.0,95.0,25.3,48.0
130581000262001,School,Patoka Elem School,Patoka CUSD 100,ELEMENTARY,21.2,14.0,16.7,11.0
130581110022004,School,Hawthorn Elem School,Salem SD 111,ELEMENTARY,44.3,51.0,46.1,53.0
130581110022005,School,Franklin Park Middle School,Salem SD 111,ELEMENTARY,61.0,314.0,39.9,205.0
130581330022001,School,Central City Elem School,Central City SD 133,ELEMENTARY,24.8,53.0,8.4,18.0
130581350022003,School,Field Kindergarten Center,Centralia SD 135,ELEMENTARY,,,,
130581350022006,School,Jordan Elem School,Centralia SD 135,ELEMENTARY,22.7,20.0,35.2,31.0
130581350022007,School,Centralia Jr High School,Centralia SD 135,ELEMENTARY,21.1,143.0,13.7,93.0
130581350022008,School,Schiller Elem School,Centralia SD 135,ELEMENTARY,18.8,9.0,25.0,12.0
130584010262002,School,South Central Elementary-Kinmundy,South Central CUD 401,ELEMENTARY,19.0,24.0,9.6,12.0
130585010262002,School,Sandoval Elem School,Sandoval CUSD 501,ELEMENTARY,21.5,32.0,25.5,38.0
130587220262001,School,Odin Attendance Center K-8,Odin PSD 722,ELEMENTARY,19.5,24.0,9.8,12.0
130950010042001,School,Oakdale Grade School,Oakdale CCSD 1,ELEMENTARY,40.4,19.0,44.7,21.0
130950100262003,School,Okawville Grade School,West Washington Co CUD 10,ELEMENTARY,54.1,80.0,42.6,63.0
130950110042001,School,Irvington Elem School,Irvington CCSD 11,ELEMENTARY,30.8,12.0,35.9,14.0
130950150042001,School,Ashley Com Consolidated School,Ashley CCSD 15,ELEMENTARY,34.1,28.0,17.3,14.0
130950490042002,School,Nashville Grade School,Nashville CCSD 49,ELEMENTARY,34.5,113.0,24.9,82.0
150162990252046,School,Jackson M Elem School,City of Chicago SD 299,ELEMENTARY,8.5,19.0,3.2,7.0
150162990252048,School,Green  W Elem School,City of Chicago SD 299,ELEMENTARY,10.8,22.0,5.9,12.0
150162990252051,School,Addams Elem School,City of Chicago SD 299,ELEMENTARY,27.9,124.0,26.7,119.0
150162990252052,School,Agassiz Elem School,City of Chicago SD 299,ELEMENTARY,46.2,141.0,36.5,109.0
150162990252053,School,Alcott Elem School,City of Chicago SD 299,ELEMENTARY,51.8,183.0,56.2,199.0
150162990252054,School,Aldridge Elem School,City of Chicago SD 299,ELEMENTARY,15.5,18.0,9.6,11.0
150162990252058,School,Armour Elem School,City of Chicago SD 299,ELEMENTARY,22.2,32.0,11.1,16.0
150162990252059,School,Armstrong G Elem IntL Studies,City of Chicago SD 299,ELEMENTARY,37.5,329.0,35.7,312.0
150162990252062,School,Audubon Elem School,City of Chicago SD 299,ELEMENTARY,34.3,106.0,40.8,126.0
150162990252063,School,Avalon Park Elem School,City of Chicago SD 299,ELEMENTARY,15.3,27.0,7.4,13.0
150162990252066,School,Barnard Elem Comp Math & Sci Ctr,City of Chicago SD 299,ELEMENTARY,29.6,50.0,14.9,25.0
150162990252067,School,Barry Elem School,City of Chicago SD 299,ELEMENTARY,9.7,34.0,9.1,32.0
150162990252068,School,Barton Elem School,City of Chicago SD 299,ELEMENTARY,6.6,16.0,3.4,8.0
150162990252069,School,Bass Elem School,City of Chicago SD 299,ELEMENTARY,7.8,22.0,5.3,15.0
150162990252070,School,Bateman Elem School,City of Chicago SD 299,ELEMENTARY,31.3,190.0,24.4,148.0
150162990252072,School,Nicholson Technology Acad Elem Sch,City of Chicago SD 299,ELEMENTARY,3.4,10.0,1.4,4.0
150162990252078,School,Beaubien Elem School,City of Chicago SD 299,ELEMENTARY,56.6,370.0,51.8,338.0
150162990252079,School,Beethoven Elem School,City of Chicago SD 299,ELEMENTARY,11.2,21.0,6.5,12.0
150162990252080,School,Beidler Elem School,City of Chicago SD 299,ELEMENTARY,4.9,11.0,2.7,6.0
150162990252081,School,Belding Elem School,City of Chicago SD 299,ELEMENTARY,4.9,17.0,6.9,24.0
150162990252082,School,Bell Elem School,City of Chicago SD 299,ELEMENTARY,54.4,332.0,59.3,362.0
150162990252083,School,Bennett Elem School,City of Chicago SD 299,ELEMENTARY,10.5,21.0,10.6,21.0
150162990252086,School,Black Magnet Elem School,City of Chicago SD 299,ELEMENTARY,18.2,51.0,16.7,47.0
150162990252087,School,Blaine Elem School,City of Chicago SD 299,ELEMENTARY,18.0,84.0,20.4,95.0
150162990252088,School,Bond Elem School,City of Chicago SD 299,ELEMENTARY,8.5,11.0,14.1,18.0
150162990252089,School,Boone Elem School,City of Chicago SD 299,ELEMENTARY,25.4,136.0,26.1,140.0
150162990252090,School,Bradwell Comm Arts & Sci Elem Sch,City of Chicago SD 299,ELEMENTARY,9.5,30.0,11.6,37.0
150162990252092,School,Haley Elem Academy,City of Chicago SD 299,ELEMENTARY,17.8,55.0,13.1,40.0
150162990252093,School,Brennemann Elem School,City of Chicago SD 299,ELEMENTARY,40.5,94.0,29.3,68.0
150162990252094,School,Brentano Elem Math & Science Acad,City of Chicago SD 299,ELEMENTARY,28.7,71.0,24.7,62.0
150162990252095,School,Bridge Elem School,City of Chicago SD 299,ELEMENTARY,43.2,298.0,38.5,265.0
150162990252096,School,Bright Elem School,City of Chicago SD 299,ELEMENTARY,9.8,15.0,4.6,7.0
150162990252097,School,Brown  W Elem School,City of Chicago SD 299,ELEMENTARY,13.6,19.0,2.9,4.0
150162990252098,School,Brownell Elem School,City of Chicago SD 299,ELEMENTARY,14.7,14.0,3.2,3.0
150162990252100,School,Bouchet Elem Math & Science Acad,City of Chicago SD 299,ELEMENTARY,14.5,58.0,12.1,48.0
150162990252101,School,Budlong Elem School,City of Chicago SD 299,ELEMENTARY,45.7,186.0,34.7,142.0
150162990252102,School,Burbank Elem School,City of Chicago SD 299,ELEMENTARY,26.7,153.0,17.0,97.0
150162990252103,School,Burke Elem School,City of Chicago SD 299,ELEMENTARY,2.5,6.0,3.4,8.0
150162990252104,School,Burley Elem School,City of Chicago SD 299,ELEMENTARY,68.7,218.0,62.1,196.0
150162990252105,School,Burnham Elem Inclusive Academy,City of Chicago SD 299,ELEMENTARY,17.3,61.0,9.3,33.0
150162990252107,School,Burnside Elem Scholastic Academy,City of Chicago SD 299,ELEMENTARY,24.5,61.0,14.1,35.0
150162990252108,School,Burr Elem School,City of Chicago SD 299,ELEMENTARY,45.9,118.0,40.8,104.0
150162990252109,School,Burroughs Elem School,City of Chicago SD 299,ELEMENTARY,49.6,139.0,37.5,105.0
150162990252110,School,Brunson Math & Sci Specialty Elem,City of Chicago SD 299,ELEMENTARY,3.4,10.0,2.4,7.0
150162990252112,School,Byrne Elem School,City of Chicago SD 299,ELEMENTARY,26.2,127.0,21.2,103.0
