RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
070161220022003,School,Harnew Elem School,Ridgeland SD 122,ELEMENTARY,45.7,107.0,38.9,91.0
070161220022004,School,George W Lieb Elem School,Ridgeland SD 122,ELEMENTARY,37.8,70.0,34.1,63.0
070161230022003,School,J Covington Elem School,Oak Lawn-Hometown SD 123,ELEMENTARY,36.9,87.0,34.7,82.0
070161230022006,School,J M Hannum Elem School,Oak Lawn-Hometown SD 123,ELEMENTARY,41.4,91.0,31.8,70.0
070161230022007,School,Hometown Elem School,Oak Lawn-Hometown SD 123,ELEMENTARY,32.5,50.0,23.4,36.0
070161230022008,School,Kolmar Avenue Elem School,Oak Lawn-Hometown SD 123,ELEMENTARY,45.8,77.0,40.5,68.0
070161230022010,School,Sward Elem School,Oak Lawn-Hometown SD 123,ELEMENTARY,52.6,131.0,41.4,103.0
070161240022002,School,Northeast Elem School,Evergreen Park ESD 124,ELEMENTARY,46.3,69.0,38.9,58.0
070161240022003,School,Northwest School,Evergreen Park ESD 124,ELEMENTARY,46.6,61.0,38.9,51.0
070161240022004,School,Southeast Elem School,Evergreen Park ESD 124,ELEMENTARY,44.8,73.0,42.7,70.0
070161240022005,School,Southwest Elem School,Evergreen Park ESD 124,ELEMENTARY,53.8,84.0,59.6,93.0
070161250022003,School,Lawn Manor School,Atwood Heights SD 125,ELEMENTARY,,,,
070161250022004,School,Meadow Lane School,Atwood Heights SD 125,ELEMENTARY,20.6,40.0,13.9,27.0
070161260022001,School,Hazelgreen Elem School,Alsip-Hazlgrn-Oaklwn SD 126,ELEMENTARY,38.9,68.0,26.9,47.0
070161260022002,School,Lane Elem School,Alsip-Hazlgrn-Oaklwn SD 126,ELEMENTARY,31.3,40.0,18.8,24.0
070161260022004,School,Stony Creek Elem School,Alsip-Hazlgrn-Oaklwn SD 126,ELEMENTARY,32.4,132.0,24.6,100.0
070161270022001,School,Worth Elem School,Worth SD 127,ELEMENTARY,37.1,79.0,32.4,69.0
070161270022004,School,Worthwoods Elem School,Worth SD 127,ELEMENTARY,31.9,51.0,21.9,35.0
070161275022003,School,Ridge Central Elem School,Chicago Ridge SD 127-5,ELEMENTARY,32.5,74.0,18.4,42.0
070161275022004,School,Ridge Lawn Elementary School,Chicago Ridge SD 127-5,ELEMENTARY,12.4,29.0,9.8,23.0
070161280022002,School,Chippewa Elem School,Palos Heights SD 128,ELEMENTARY,56.9,37.0,66.2,43.0
070161280022005,School,Navajo Heights Elem School,Palos Heights SD 128,ELEMENTARY,48.6,70.0,58.3,84.0
070161280022006,School,Indian Hill,Palos Heights SD 128,ELEMENTARY,,,,
070161300022004,School,Nathan Hale Intermediate,Cook County SD 130,ELEMENTARY,26.9,57.0,17.0,36.0
070161300022008,School,Paul Revere Intermediate School,Cook County SD 130,ELEMENTARY,30.3,69.0,18.4,42.0
